year,week,psi,rain,patient,result
2017.0,19.0,46.0,15.0,3645.0,2729.593505859375
2017.0,20.0,46.0,15.0,3500.0,2728.9423828125
2017.0,21.0,49.0,15.0,3440.0,2727.4462890625
2017.0,22.0,43.0,15.0,3241.0,2728.482421875
2017.0,23.0,50.0,10.0,2842.0,2725.489013671875
2017.0,24.0,46.0,10.0,2476.0,2725.961181640625
2017.0,25.0,50.0,10.0,2374.0,2724.18310546875
2017.0,26.0,47.0,10.0,2793.0,2724.373779296875
2017.0,27.0,44.0,9.0,2835.0,2724.491455078125
2017.0,28.0,46.0,9.0,3191.0,2723.2744140625
2017.0,29.0,49.0,9.0,3355.0,2721.7744140625
2017.0,30.0,55.0,9.0,3132.0,2719.42626953125
2017.0,31.0,50.0,9.0,2867.0,2720.1796875
2017.0,32.0,44.0,18.0,2783.0,2721.861328125
2017.0,33.0,47.0,18.0,2893.0,2720.350830078125
2017.0,34.0,43.0,18.0,2771.0,2720.82421875
2017.0,35.0,50.0,18.0,2502.0,2718.17626953125
2017.0,36.0,48.0,19.0,2378.0,2718.15234375
2017.0,37.0,54.0,19.0,2489.0,2715.78271484375
2017.0,38.0,49.0,19.0,2665.0,2716.540283203125
2017.0,39.0,55.0,19.0,2686.0,2714.16748046875
2017.0,40.0,55.0,18.0,2881.0,2713.43310546875
2017.0,41.0,47.0,18.0,3016.0,2715.044677734375
2017.0,42.0,62.0,18.0,3125.0,2710.103759765625
2017.0,43.0,63.0,18.0,2869.0,2709.14990234375
2017.0,44.0,49.0,18.0,2882.0,2712.474609375
2017.0,45.0,47.0,24.0,2862.0,2712.784912109375
2017.0,46.0,53.0,24.0,2939.0,2710.396484375
2017.0,47.0,43.0,24.0,2910.0,2712.58837890625
2017.0,48.0,39.0,24.0,2836.0,2713.0625
2017.0,49.0,48.0,24.0,2711.0,2709.8125
2017.0,50.0,56.0,23.0,2677.0,2706.77880859375
2017.0,51.0,50.0,23.0,2729.0,2707.825927734375
2017.0,52.0,39.0,23.0,2836.0,2710.306884765625
2018.0,1.0,43.0,25.0,3158.0,2742.703369140625
2018.0,2.0,33.0,25.0,3632.0,2744.854736328125
2018.0,3.0,43.0,25.0,4234.0,2741.41796875
2018.0,4.0,42.0,25.0,4048.0,2741.054443359375
2018.0,5.0,49.0,25.0,3960.0,2738.449462890625
